TARGET,cus_employername,profit_loss_after_cost,agrgrp_writeoff
0.0,Maypole Ltd,-58.5,1.0
1.0,Royal Orthopaedic Hospital,314.0,
1.0,Dussmann,385.25,
1.0,Kier Scotland,489.0,
0.0,Barnet General Hospital,-171.0,1.0
1.0,Newsquest,186.5,
,Rentokil,1.25,1.0
,Balfour Beatty Utility Solutions,12.75,1.0
0.0,Whiston Hospital,-136.0,1.0
0.0,Asda,-208.5,1.0
1.0,Britsh Forces,155.25,
,Hypercube Consultancy,1.5,
1.0,Chelsea And Westminster Hospital,456.84,
1.0,Pinsent Masons Llp,1091.5,
0.0,United Biscuits,-174.0,1.0
1.0,Barnardos,1081.5,
0.0,The Money Shop,-221.0,1.0
1.0,British Airways,933.5,
1.0,Cooperative,805.25,
0.0,The Carphonewarehouse,-283.5,1.0
1.0,South Staffs Healthcare,271.5,
0.0,Rhl - Response,-186.0,1.0
1.0,Strettons,456.54,
1.0,Centro,714.0,
1.0,Ukba,183.66,
1.0,Ucl / University College London,279.75,
,Sainsburys,1.5,
1.0,Semex Uk,222.5,
1.0,Mastercraft,110.75,1.0
,Royal Navy,14.0,
,St. Andrew's Hospital,30.25,1.0
,Greater Manchester West Nhs Trust,74.05,
1.0,South Tyneside Council,231.0,
1.0,Princess Royal Maternity,314.0,
0.0,Becogent Ltd,-223.5,1.0
,Travelodge,35.51,
1.0,City Link,316.3,
1.0,St Margarets Hospice,609.0,
1.0,Save The Children,869.0,
0.0,Tesco Ltd,-186.0,1.0
0.0,Expert Logistics,-121.0,1.0
1.0,Nationwide Crash Repair,474.0,
1.0,Vision Security Group,111.5,
,Aramark,64.0,
1.0,Nfu Mutual Insurance Society Ltd,370.0,
,Marfin Laiki Bank,60.91,
,Stl,54.0,
1.0,Bridgetyres,201.0,
,Nhs Trust,86.97,1.0
0.0,Ladbrokes Plc,-7.25,
,Nuffield Health,81.33,1.0
0.0,John Radcliffe Hospital,-186.0,1.0
1.0,Rsa,324.3,
0.0,Allied Vehichles,-98.5,1.0
1.0,North East Lincs Council,474.0,
1.0,Legal And General,382.75,
0.0,Progressive Care,-66.0,1.0
1.0,Tesco,247.75,
,Tesco,37.5,
0.0,"Haring Cross Hospital,Fulham Palace Rd,London,W6 8Rf Address",-143.5,1.0
1.0,Derby College,345.87,
1.0,Morecambe Bay Hospital,426.0,
,Elsie Ingles Nursing Home,88.5,
,Leeds Trinty University Col,60.25,1.0
0.0,Asda,-122.25,1.0
1.0,Magenta Security Services,648.03,
,Medical Services,54.0,
0.0,Hallmark Plc,-67.77,1.0
1.0,Protocol,527.5,
1.0,Andersons Care Home,136.5,
0.0,Ral Ltd - Quicksilver Venues,-155.23,1.0
0.0,Trafford Council,-161.0,1.0
1.0,Lodestar Cleaning Contract Ltd,405.48,
1.0,Freight Transport,154.75,
0.0,Dw Sports Fitness,-186.0,1.0
,Petrofac,9.0,1.0
,Dhl,97.5,
0.0,Daiwa Capital Market,-171.92,
1.0,Wragge & Co Llp,322.72,
0.0,Cemex,-78.62,1.0
0.0,British Army,-186.0,1.0
,Odeon,59.0,
1.0,Army,356.5,
,Designers Guild,97.75,
0.0,Nviro,-186.0,1.0
0.0,Mike Potts Transport,-161.0,1.0
1.0,Technology Strategy Bourd,1191.5,
1.0,Ess,116.5,1.0
0.0,Hm Forces,-131.0,
1.0,St Christophers Primary School,180.25,1.0
0.0,Car Spares Factors,-214.75,1.0
1.0,Tesco,586.5,1.0
0.0,Dixons Retail,-171.0,1.0
0.0,Sainsburys,-123.5,1.0
1.0,Army,364.75,
0.0,Royal Artillery,-158.5,1.0
0.0,Walkers Crisps,-226.0,1.0
0.0,Credit Solutions Ltd,-3.5,1.0
1.0,Premier Food,674.0,
1.0,Lloyds Banking Group,355.86,1.0
1.0,Western Health And Social Care Trust - Gransha Hospital,336.5,
0.0,Edf,-157.36,
,Hermes Parcelnet,1.5,
0.0,Ukmail,-138.5,1.0
0.0,Asda,-2.25,
1.0,Royal Air Force,1564.0,
1.0,Lidl,280.0,1.0
,Unistrut,79.0,
0.0,Mcd,-98.5,1.0
1.0,Newport City Council/Newport Centre,204.0,1.0
0.0,Sedgwick Financial Services Limited / Mercer,-136.0,1.0
0.0,Sodexo,-66.0,1.0
1.0,Northwest Ambulance Service,521.5,
1.0,Wincanton,287.75,
1.0,Virgin Media,776.5,
,The Grimsby Institute,87.5,
1.0,Saica Pack S.C.A.,384.14,
1.0,Gfk Nop,129.0,
1.0,Masters Renault,211.1,
1.0,Nhs Tayside/Perth Royal Infirmary,282.5,
0.0,Chem Dry Central,-211.0,1.0
1.0,Clanmil Housing,131.7,1.0
0.0,Mec,-201.0,1.0
0.0,Oce Uk,-237.25,1.0
0.0,Swiss Post Solutions,-83.08,1.0
0.0,Twinings,-171.0,1.0
1.0,Skanem,325.0,1.0
1.0,Lilipins,130.25,
